opcode,name,sysfs node
0x40400000,POWER COLLAPSE,/dev/cpu_dma_latency
0x40404000,,/sys/module/lpm_levels/system/perf/perf-l2-pc/idle_enabled,unsupported
0x40408000,LPM Bias,/sys/module/lpm_levels/parameters/bias_hyst
0x4040C000,,/sys/module/lpm_levels/parameters/ref_stddev
0x40410000,,/sys/module/lpm_levels/parameters/tmr_add
0x40800000,CPUBOOST_MIN_FREQ BIG Core,/sys/module/msm_performance/parameters/cpu_min_freq
0x40800100,CPUBOOST_MIN_FREQ LITTLE Core,/sys/module/msm_performance/parameters/cpu_min_freq
0x40800200,CPUBOOST_MIN_FREQ BIG Core,/sys/module/msm_performance/parameters/cpu_min_freq
0x40804000,CPUBOOST_MAX_FREQ BIG Core,/sys/module/msm_performance/parameters/cpu_max_freq
0x40804100,CPUBOOST_MAX_FREQ LITTLE Core,/sys/module/msm_performance/parameters/cpu_max_freq
0x40804200,CPUBOOST_MAX_FREQ PRIME Core,/sys/module/msm_performance/parameters/cpu_max_freq
0x40C00000,SCHEDBOOST,/proc/sys/kernel/sched_boost
0x40C1C000,SCHED UPMIGRATE,/proc/sys/kernel/sched_upmigrate
0x40C1C200,SCHED UPMIGRATE PRIME,/proc/sys/kernel/sched_upmigrate
0x40C20000,SCHED DOWNMIGRATE,/proc/sys/kernel/sched_downmigrate
0x40C20200,SCHED DOWNMIGRATE PRIME,/proc/sys/kernel/sched_downmigrate
0x40C54000,SCHED GROUP UPMIGRATE,/proc/sys/kernel/sched_group_upmigrate
0x40C58000,SCHED GROUP DOWNMIGRATE,/proc/sys/kernel/sched_group_downmigrate
0x41800000,CPUBW_MIN_FREQ,/sys/class/devfreq/soc:qcom,cpu-cpu-llcc-bw/min_freq
0x4280C000,GPU MIN_FREQUENCY,/sys/class/kgsl/kgsl-3d0/devfreq/min_freq
0x42C10000,STORAGE CLK SCALING,StorageNode_path_is_figured_out_based_on_the_target_device
0x43000000,LLCBW_MIN_FREQ,/sys/class/devfreq/soc:qcom,cpu-llcc-ddr-bw/min_freq
0x43400000,L3_MEMLAT_MIN_FREQ,/sys/class/devfreq/soc:qcom,cpu%d-cpu-l3-lat/min_freq
